Symbol,Industry
GLENMARK,Healthcare
NETWEB,Technology
HINDUNILVR,Consumer Defensive
JPPOWER,Utilities
ANANDRATHI,Financial Services
EIDPARRY,Basic Materials
WOCKPHARMA,Healthcare
NTPCGREEN,Utilities
RBLBANK,Financial Services
RAMCOCEM,Basic Materials
ASAHIINDIA,Consumer Cyclical
GILLETTE,Consumer Defensive
ACMESOLAR,Utilities
WHIRLPOOL,Consumer Cyclical
VMM,Consumer Cyclical
NEULANDLAB,Healthcare
COHANCE,Healthcare
AKUMS,Healthcare
ALKEM,Healthcare
SARDAEN,Basic Materials
PEL,Financial Services
NH,Healthcare
MANKIND,Healthcare
JSWINFRA,Industrials
ECLERX,Technology
AJANTPHARM,Healthcare
PFC,Financial Services
BOSCHLTD,Consumer Cyclical
EMCURE,Healthcare
KPITTECH,Technology
ANANTRAJ,Real Estate
INDIGO,Industrials
ASTERDM,Healthcare
RAYMOND,Consumer Cyclical
JYOTHYLAB,Consumer Defensive
NLCINDIA,Utilities
RECLTD,Financial Services
GODREJAGRO,Consumer Defensive
KIRLOSENG,Industrials
SBILIFE,Financial Services
BALRAMCHIN,Consumer Defensive
FIVESTAR,Financial Services
ASTRAZEN,Healthcare
TATATECH,Technology
HOMEFIRST,Financial Services
GPPL,Industrials
TBOTEK,Consumer Cyclical
JSWHL,Industrials
APTUS,Financial Services
THERMAX,Industrials
ICICIGI,Financial Services
VEDL,Basic Materials
HINDZINC,Basic Materials
COROMANDEL,Basic Materials
SCHNEIDER,Industrials
NMDC,Basic Materials
VIJAYA,Healthcare
CCL,Consumer Defensive
SAGILITY,Healthcare
PNB,Financial Services
NHPC,Utilities
HAPPSTMNDS,Technology
SJVN,Utilities
GPIL,Basic Materials
ABREL,Basic Materials
SYRMA,Technology
IKS,Healthcare
ADANIGREEN,Utilities
BIOCON,Healthcare
CUMMINSIND,Industrials
GLAND,Healthcare
SUNPHARMA,Healthcare
ETERNAL,Consumer Cyclical
PIIND,Basic Materials
INDIAMART,Communication Services
DALBHARAT,Basic Materials
HYUNDAI,Consumer Cyclical
RADICO,Consumer Defensive
AXISBANK,Financial Services
LINDEINDIA,Basic Materials
DEEPAKFERT,Basic Materials
NTPC,Utilities
HEG,Industrials
NATIONALUM,Basic Materials
ENGINERSIN,Industrials
ZYDUSLIFE,Healthcare
PFIZER,Healthcare
INDUSINDBK,Financial Services
DIVISLAB,Healthcare
BANKINDIA,Financial Services
MGL,Utilities
BALKRISIND,Consumer Cyclical
TRITURBINE,Industrials
NESTLEIND,Consumer Defensive
RPOWER,Utilities
JUSTDIAL,Communication Services
360ONE,Financial Services
HUDCO,Financial Services
RAILTEL,Communication Services
REDINGTON,Technology
SBIN,Financial Services
IEX,Financial Services
SHREECEM,Basic Materials
USHAMART,Basic Materials
SUMICHEM,Basic Materials
JSL,Basic Materials
AMBUJACEM,Basic Materials
VGUARD,Industrials
KOTAKBANK,Financial Services
LTTS,Technology
SAIL,Basic Materials
NYKAA,Consumer Cyclical
PRESTIGE,Real Estate
BLUESTARCO,Industrials
APLLTD,Healthcare
MEDANTA,Healthcare
LUPIN,Healthcare
UPL,Basic Materials
OLAELEC,Consumer Cyclical
ADANIPOWER,Utilities
UNIONBANK,Financial Services
ULTRACEMCO,Basic Materials
DEEPAKNTR,Basic Materials
ASIANPAINT,Basic Materials
VOLTAS,Consumer Cyclical
SHRIRAMFIN,Financial Services
FINPIPE,Industrials
ITC,Consumer Defensive
UTIAMC,Financial Services
INTELLECT,Technology
BHARTIHEXA,Communication Services
GODIGIT,Financial Services
POLYMED,Healthcare
DIXON,Technology
SIGNATURE,Real Estate
PNBHOUSING,Financial Services
SAILIFE,Healthcare
GRAPHITE,Industrials
IPCALAB,Healthcare
AWL,Consumer Defensive
LAURUSLABS,Healthcare
SBFC,Financial Services
RAINBOW,Healthcare
JUBLPHARMA,Healthcare
CANBK,Financial Services
KPIL,Industrials
DCMSHRIRAM,Industrials
LICI,Financial Services
CIPLA,Healthcare
JKCEMENT,Basic Materials
MARICO,Consumer Defensive
SUNTV,Communication Services
CENTURYPLY,Basic Materials
PATANJALI,Consumer Defensive
GODREJCP,Consumer Defensive
LICHSGFIN,Financial Services
POWERGRID,Utilities
ADANIPORTS,Industrials
MAPMYINDIA,Technology
RVNL,Industrials
TANLA,Technology
NSLNISP,Basic Materials
DBREALTY,Real Estate
GSPL,Utilities
3MINDIA,Industrials
TATAPOWER,Utilities
IIFL,Financial Services
PPLPHARMA,Healthcare
CANFINHOME,Financial Services
HINDALCO,Basic Materials
UBL,Consumer Defensive
OBEROIRLTY,Real Estate
GLAXO,Healthcare
INDUSTOWER,Communication Services
CRISIL,Financial Services
ABSLAMC,Financial Services
PAGEIND,Consumer Cyclical
RENUKA,Consumer Defensive
ICICIBANK,Financial Services
GRASIM,Basic Materials
HAVELLS,Industrials
BANKBARODA,Financial Services
MRF,Consumer Cyclical
HAL,Industrials
AUROPHARMA,Healthcare
KIMS,Healthcare
SWIGGY,Consumer Cyclical
YESBANK,Financial Services
ADANIENT,Energy
BEL,Industrials
JBCHEPHARM,Healthcare
ONGC,Energy
ABBOTINDIA,Healthcare
BLS,Industrials
CRAFTSMAN,Consumer Cyclical
IOC,Energy
PNCINFRA,Industrials
TORNTPHARM,Healthcare
FSL,Technology
CAPLIPOINT,Healthcare
SUZLON,Industrials
LODHA,Real Estate
BLUEDART,Industrials
SONATSOFTW,Technology
SUNDRMFAST,Consumer Cyclical
IGL,Utilities
KNRCON,Industrials
NUVAMA,Financial Services
ATGL,Utilities
FLUOROCHEM,Basic Materials
BHEL,Industrials
AADHARHFC,Financial Services
NBCC,Industrials
NCC,Industrials
GRANULES,Healthcare
GUJGASLTD,Utilities
TRENT,Consumer Cyclical
HBLENGINE,Industrials
ALIVUS,Healthcare
AUBANK,Financial Services
LTF,Financial Services
FIRSTCRY,Consumer Cyclical
TIMKEN,Industrials
TATASTEEL,Basic Materials
COALINDIA,Energy
ACC,Basic Materials
HFCL,Technology
BAJAJHLDNG,Financial Services
DRREDDY,Healthcare
CREDITACC,Financial Services
INDIACEM,Basic Materials
AFFLE,Communication Services
HONAUT,Industrials
DELHIVERY,Industrials
SUPREMEIND,Industrials
MOTILALOFS,Financial Services
DABUR,Consumer Defensive
JSWSTEEL,Basic Materials
BAJAJHFL,Financial Services
SCI,Industrials
TATAINVEST,Financial Services
RRKABEL,Industrials
CASTROLIND,Energy
TORNTPOWER,Utilities
GESHIP,Industrials
UCOBANK,Financial Services
JSWENERGY,Utilities
MUTHOOTFIN,Financial Services
ASHOKLEY,Industrials
JUBLINGREA,Basic Materials
RITES,Industrials
MANYAVAR,Consumer Cyclical
JBMA,Consumer Cyclical
PGEL,Technology
IRB,Industrials
ZFCVINDIA,Consumer Cyclical
BIKAJI,Consumer Defensive
SHYAMMETL,Basic Materials
IDBI,Financial Services
TEJASNET,Technology
FINCABLES,Industrials
MARUTI,Consumer Cyclical
IRCON,Industrials
HINDCOPPER,Basic Materials
ABCAPITAL,Financial Services
MANAPPURAM,Financial Services
ITI,Technology
EICHERMOT,Consumer Cyclical
ESCORTS,Industrials
NAVA,Industrials
EIHOTEL,Consumer Cyclical
SONACOMS,Consumer Cyclical
IRFC,Financial Services
HINDPETRO,Energy
ASTRAL,Industrials
IOB,Financial Services
PRAJIND,Industrials
JWL,Industrials
BDL,Industrials
INDHOTEL,Consumer Cyclical
PHOENIXLTD,Real Estate
INOXINDIA,Industrials
KANSAINER,Basic Materials
GNFC,Basic Materials
LT,Industrials
TATACONSUM,Consumer Defensive
IRCTC,Industrials
TRIVENI,Consumer Defensive
RHIM,Industrials
TIINDIA,Industrials
AEGISLOG,Energy
ENDURANCE,Consumer Cyclical
RCF,Basic Materials
TECHNOE,Industrials
GICRE,Financial Services
CHALET,Consumer Cyclical
RTNINDIA,Consumer Cyclical
AARTIIND,Basic Materials
KAJARIACER,Industrials
ELGIEQUIP,Industrials
WESTLIFE,Consumer Cyclical
APLAPOLLO,Basic Materials
SCHAEFFLER,Consumer Cyclical
BAJFINANCE,Financial Services
CGPOWER,Industrials
NEWGEN,Technology
ADANIENSOL,Utilities
LALPATHLAB,Healthcare
INOXWIND,Industrials
CHOLAFIN,Financial Services
JMFINANCIL,Financial Services
INDIANB,Financial Services
INDGN,Healthcare
ABFRL,Consumer Cyclical
MMTC,Industrials
TITAN,Consumer Cyclical
WELCORP,Basic Materials
FACT,Basic Materials
HDFCBANK,Financial Services
TECHM,Technology
COLPAL,Consumer Defensive
JUBLFOOD,Consumer Cyclical
CUB,Financial Services
KFINTECH,Technology
MAHABANK,Financial Services
TRIDENT,Consumer Cyclical
GMDCLTD,Energy
JYOTICNC,Industrials
STARHEALTH,Financial Services
CYIENT,Industrials
KALYANKJIL,Consumer Cyclical
FEDERALBNK,Financial Services
GMRAIRPORT,Industrials
CONCORDBIO,Healthcare
PETRONET,Energy
OLECTRA,Industrials
ROUTE,Communication Services
MPHASIS,Technology
UNITDSPR,Consumer Defensive
DEVYANI,Consumer Cyclical
TTML,Communication Services
BANDHANBNK,Financial Services
OIL,Energy
AFCONS,Industrials
BBTC,Consumer Defensive
MSUMI,Consumer Cyclical
ELECON,Industrials
MFSL,Financial Services
SWSOLAR,Technology
NETWORK18,Communication Services
CENTRALBK,Financial Services
SYNGENE,Healthcare
IGIL,Basic Materials
HDFCLIFE,Financial Services
COCHINSHIP,Industrials
HDFCAMC,Financial Services
MOTHERSON,Consumer Cyclical
IFCI,Financial Services
CAMPUS,Consumer Cyclical
BERGEPAINT,Basic Materials
SOBHA,Real Estate
SUNDARMFIN,Financial Services
MAHSEAMLES,Basic Materials
CHOLAHLDNG,Financial Services
CLEAN,Basic Materials
NIACL,Financial Services
BAYERCROP,Basic Materials
BAJAJFINSV,Financial Services
ANGELONE,Financial Services
BPCL,Energy
ZENSARTECH,Technology
SKFINDIA,Industrials
CGCL,Financial Services
INFY,Technology
BASF,Basic Materials
CONCOR,Industrials
KARURVYSYA,Financial Services
JIOFIN,Financial Services
BRIGADE,Real Estate
JKTYRE,Consumer Cyclical
ACE,Industrials
RELIANCE,Energy
NAVINFLUOR,Basic Materials
PERSISTENT,Technology
JINDALSTEL,Basic Materials
WELSPUNLIV,Consumer Cyclical
LATENTVIEW,Industrials
VBL,Consumer Defensive
EXIDEIND,Consumer Cyclical
KEI,Industrials
EMAMILTD,Consumer Defensive
PREMIERENE,Technology
ERIS,Healthcare
ICICIPRULI,Financial Services
HCLTECH,Technology
GODREJPROP,Real Estate
RAYMONDLSL,Consumer Cyclical
TATAMOTORS,Consumer Cyclical
BHARATFORG,Consumer Cyclical
BSOFT,Technology
MRPL,Energy
POLYCAB,Industrials
IDFCFIRSTB,Financial Services
CROMPTON,Consumer Cyclical
TITAGARH,Industrials
GAIL,Utilities
LTFOODS,Consumer Defensive
IDEA,Communication Services
FORTIS,Healthcare
ATUL,Basic Materials
TARIL,Industrials
COFORGE,Technology
DLF,Real Estate
GODFRYPHLP,Consumer Defensive
AIAENG,Industrials
TATACHEM,Basic Materials
CHENNPETRO,Energy
SBICARD,Financial Services
PVRINOX,Communication Services
VTL,Consumer Cyclical
SAREGAMA,Communication Services
APOLLOTYRE,Consumer Cyclical
MCX,Financial Services
LLOYDSME,Basic Materials
PIDILITIND,Basic Materials
TATACOMM,Communication Services
NIVABUPA,Financial Services
SRF,Industrials
CEATLTD,Consumer Cyclical
PAYTM,Technology
SOLARINDS,Basic Materials
JINDALSAW,Basic Materials
CARBORUNIV,Industrials
MAZDOCK,Industrials
LTIM,Technology
HSCL,Basic Materials
GRAVITA,Industrials
HEROMOTOCO,Consumer Cyclical
ABB,Industrials
BATAINDIA,Consumer Cyclical
WAAREEENER,Technology
MASTEK,Technology
PCBL,Basic Materials
KPRMILL,Consumer Cyclical
HONASA,Consumer Defensive
POONAWALLA,Financial Services
ALOKINDS,Consumer Cyclical
LEMONTREE,Consumer Cyclical
SWANENERGY,Industrials
TATAELXSI,Technology
CESC,Utilities
CDSL,Financial Services
BHARTIARTL,Communication Services
DOMS,Industrials
APOLLOHOSP,Healthcare
PTCIL,Industrials
SIEMENS,Industrials
BRITANNIA,Consumer Defensive
WIPRO,Technology
CERA,Industrials
KEC,Industrials
AAVAS,Financial Services
NAUKRI,Communication Services
TVSMOTOR,Consumer Cyclical
SAPPHIRE,Consumer Cyclical
MAXHEALTH,Healthcare
ZENTEC,Industrials
OFSS,Technology
KAYNES,Industrials
CHAMBLFERT,Basic Materials
MINDACORP,Consumer Cyclical
CAMS,Technology
GODREJIND,Industrials
ZEEL,Communication Services
POLICYBZR,Financial Services
DMART,Consumer Defensive
DATAPATTNS,Industrials
GRSE,Industrials
RKFORGE,Industrials
SAMMAANCAP,Financial Services
BSE,Financial Services
KIRLOSBROS,Industrials
APARINDS,Industrials
NATCOPHARM,Healthcare
ALKYLAMINE,Basic Materials
TCS,Technology
UNOMINDA,Consumer Cyclical
BEML,Industrials
METROPOLIS,Healthcare
AIIL,Financial Services
POWERINDIA,Industrials
AMBER,Consumer Cyclical
IREDA,Financial Services
